ResponseId,Dur,Age,Country,Gender,Socialmedia,Selfietaking,StimGender,Tilt,Distance,Eyes,Boring,Funny,Ironic,Serious,Ugly
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Female,Level,Far,Side,4,2,2,2,2
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Male,Tilted,Near,Direct,4,4,4,2,4
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Male,Tilted,Near,Side,4,4,4,2,4
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Male,Level,Near,Direct,4,4,4,2,4
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Male,Level,Far,Side,4,2,2,4,2
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Male,Level,Near,Side,4,4,4,2,4
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Male,Level,Far,Direct,4,2,2,4,2
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Male,Tilted,Far,Side,4,4,4,2,4
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Male,Tilted,Far,Direct,4,4,4,2,4
R_1fZrA518gyECX9l,127,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram,Snapchat",Several times a week,Female,Tilted,Near,Direct,4,5,5,5,5
R_1fZrA518gyECX9l,127,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram,Snapchat",Several times a week,Female,Tilted,Near,Side,5,4,4,5,5
R_1fZrA518gyECX9l,127,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram,Snapchat",Several times a week,Female,Level,Near,Side,5,4,4,4,5
R_1fZrA518gyECX9l,127,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram,Snapchat",Several times a week,Female,Level,Near,Direct,4,5,5,4,4
R_1fZrA518gyECX9l,127,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram,Snapchat",Several times a week,Female,Tilted,Far,Direct,4,5,5,4,4
R_1fZrA518gyECX9l,127,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram,Snapchat",Several times a week,Female,Tilted,Far,Side,4,5,5,4,4
R_1fZrA518gyECX9l,127,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram,Snapchat",Several times a week,Female,Level,Far,Direct,5,4,5,5,5
R_1fZrA518gyECX9l,127,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram,Snapchat",Several times a week,Female,Level,Far,Side,5,4,4,5,5
R_1fZrA518gyECX9l,127,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram,Snapchat",Several times a week,Male,Tilted,Near,Direct,4,4,5,5,4
R_1fZrA518gyECX9l,127,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram,Snapchat",Several times a week,Male,Tilted,Near,Side,4,5,4,4,5
R_1fZrA518gyECX9l,127,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram,Snapchat",Several times a week,Male,Level,Near,Direct,4,5,4,4,5
R_1fZrA518gyECX9l,127,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram,Snapchat",Several times a week,Male,Level,Far,Side,4,5,5,4,4
